,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21
SNPS,156.9199981689453,158.22000122070312,159.52000427246094,161.3699951171875,163.35000610351562,162.9199981689453,164.99000549316406,155.0800018310547,149.3300018310547
TTWO,111.0,112.38999938964844,114.0199966430664,112.20999908447266,113.43000030517578,113.43000030517578,113.54000091552734,115.12999725341797,116.02999877929688
TSLA,771.280029296875,774.3800048828125,767.2899780273438,804.0,800.030029296875,858.4000244140625,917.4199829101562,899.4099731445312,901.0
TXN,129.64999389648438,130.6999969482422,132.4199981689453,132.80999755859375,132.2100067138672,131.24000549316406,133.1300048828125,131.47000122070312,128.52000427246094
KHC,29.690000534057617,30.010000228881836,30.040000915527344,27.770000457763672,26.8799991607666,27.329999923706055,27.309999465942383,27.420000076293945,27.260000228881836
TMUS,84.52999877929688,94.48999786376953,95.66999816894531,95.13999938964844,96.4800033569336,99.87999725341797,100.48999786376953,99.5,98.56999969482422
ULTA,293.25,293.7799987792969,299.29998779296875,297.0899963378906,294.57000732421875,298.7099914550781,296.8599853515625,301.3399963378906,299.3999938964844
UAL,79.47000122070312,80.52999877929688,82.19999694824219,80.98999786376953,79.55000305175781,80.23999786376953,79.41999816894531,79.91000366210938,78.01000213623047
VRSN,205.8300018310547,204.4600067138672,208.2899932861328,209.80999755859375,209.57000732421875,210.47999572753906,211.22999572753906,209.05999755859375,206.1199951171875
VRSK,169.94000244140625,167.88999938964844,169.27999877929688,170.6699981689453,171.3800048828125,171.55999755859375,169.74000549316406,169.38999938964844,168.69000244140625
VRTX,244.75,247.80999755859375,242.2100067138672,240.08999633789062,243.82000732421875,245.92999267578125,247.77999877929688,245.10000610351562,246.2899932861328
WBA,52.95705795288086,52.53078842163086,53.997962951660156,53.10575866699219,52.391998291015625,51.86000061035156,52.06999969482422,51.869998931884766,51.45000076293945
WDC,68.0199966430664,68.91999816894531,70.3499984741211,69.58000183105469,69.25,68.30999755859375,69.55999755859375,69.05999755859375,66.9800033569336
WLTW,214.7100067138672,212.97999572753906,212.72000122070312,212.8000030517578,213.6699981689453,212.69000244140625,211.75999450683594,209.5,208.44000244140625
WDAY,194.86000061035156,193.07000732421875,194.39999389648438,194.6699981689453,196.99000549316406,199.3800048828125,197.5800018310547,190.55999755859375,183.86000061035156
WYNN,127.87999725341797,131.99000549316406,136.82000732421875,133.6199951171875,132.13999938964844,133.4600067138672,136.1699981689453,133.3300018310547,127.94999694824219
XEL,69.05999755859375,68.95999908447266,69.02999877929688,69.81999969482422,70.26000213623047,71.16000366210938,70.79000091552734,70.66999816894531,70.81999969482422
XLNX,86.41999816894531,90.29000091552734,91.16999816894531,90.41000366210938,90.16999816894531,89.23999786376953,90.70999908447266,89.79000091552734,87.72000122070312
